iter	Passed	Remaining
0	50	5024
1	95	4692
2	139	4503
3	182	4385
4	226	4301
5	270	4236
6	313	4171
7	360	4150
8	406	4109
9	451	4067
10	497	4024
11	543	3987
12	590	3949
13	634	3897
14	679	3850
15	723	3798
16	768	3750
17	811	3697
18	856	3652
19	900	3603
20	944	3553
21	988	3506
22	1031	3454
23	1080	3421
24	1124	3372
25	1168	3326
26	1213	3281
27	1257	3234
28	1302	3188
29	1345	3140
30	1390	3094
31	1433	3047
32	1477	2999
33	1522	2954
34	1566	2909
35	1610	2863
36	1655	2818
37	1699	2772
38	1742	2725
39	1787	2681
40	1830	2634
41	1875	2590
42	1919	2544
43	1963	2498
44	2008	2454
45	2054	2411
46	2099	2367
47	2144	2323
48	2188	2277
49	2232	2232
50	2275	2186
51	2319	2141
52	2363	2095
53	2410	2053
54	2457	2010
55	2501	1965
56	2545	1920
57	2589	1875
58	2633	1829
59	2676	1784
60	2720	1739
61	2763	1693
62	2811	1650
63	2856	1606
64	2899	1561
65	2943	1516
66	2989	1472
67	3033	1427
68	3077	1382
69	3122	1338
70	3167	1293
71	3212	1249
72	3255	1204
73	3299	1159
74	3343	1114
75	3388	1070
76	3432	1025
77	3475	980
78	3519	935
79	3563	890
80	3611	847
81	3657	802
82	3704	758
83	3751	714
84	3796	669
85	3841	625
86	3885	580
87	3930	536
88	3975	491
89	4020	446
90	4064	402
91	4108	357
92	4154	312
93	4199	268
94	4244	223
95	4291	178
96	4336	134
97	4381	89
98	4426	44
99	4472	0
