Target,Modelo,Fit_ID,Parámetros,CV_Train_MAE,CV_Train_Std,CV_Val_MAE,CV_Val_Std,Val_MAE,Test_MAE,Rank
Survival_Days,SVR_linear,SVR_linear_Survival_Days_1,"svr__C: 37.55401188473625, svr__epsilon: 0.9517143064099162",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,1
Survival_Days,SVR_linear,SVR_linear_Survival_Days_2,"svr__C: 73.2993941811405, svr__epsilon: 0.5996584841970366",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,2
Survival_Days,SVR_linear,SVR_linear_Survival_Days_3,"svr__C: 15.701864044243651, svr__epsilon: 0.15699452033620265",0.1161,0.0069,0.2006,0.0109,0.1840,0.2067,3
Survival_Days,SVR_linear,SVR_linear_Survival_Days_4,"svr__C: 5.908361216819946, svr__epsilon: 0.8671761457749352",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,4
Survival_Days,SVR_linear,SVR_linear_Survival_Days_5,"svr__C: 60.21150117432088, svr__epsilon: 0.7090725777960455",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,5
Survival_Days,SVR_linear,SVR_linear_Survival_Days_6,"svr__C: 2.1584494295802448, svr__epsilon: 0.9709098521619943",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,6
Survival_Days,SVR_linear,SVR_linear_Survival_Days_7,"svr__C: 83.34426408004217, svr__epsilon: 0.21333911067827616",0.1363,0.0065,0.1895,0.0114,0.1898,0.2076,7
Survival_Days,SVR_linear,SVR_linear_Survival_Days_8,"svr__C: 18.282496720710064, svr__epsilon: 0.18440450985343382",0.1265,0.0074,0.1942,0.0118,0.1876,0.2042,8
Survival_Days,SVR_linear,SVR_linear_Survival_Days_9,"svr__C: 30.524224295953772, svr__epsilon: 0.5257564316322378",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,9
Survival_Days,SVR_linear,SVR_linear_Survival_Days_10,"svr__C: 43.294501864211576, svr__epsilon: 0.2922291401980419",0.1731,0.0122,0.1936,0.0138,0.2249,0.2342,10
Survival_Days,SVR_linear,SVR_linear_Survival_Days_11,"svr__C: 61.28528947223795, svr__epsilon: 0.14049386065204184",0.1086,0.0056,0.2057,0.0116,0.1769,0.2093,11
Survival_Days,SVR_linear,SVR_linear_Survival_Days_12,"svr__C: 29.314464853521816, svr__epsilon: 0.3673618432936917",0.2099,0.0150,0.2147,0.0119,0.2656,0.2585,12
Survival_Days,SVR_linear,SVR_linear_Survival_Days_13,"svr__C: 45.706998421703595, svr__epsilon: 0.7861759613930136",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,13
Survival_Days,SVR_linear,SVR_linear_Survival_Days_14,"svr__C: 20.067378215835976, svr__epsilon: 0.5152344384136116",0.2825,0.0305,0.2838,0.0094,0.3123,0.3218,14
Survival_Days,SVR_linear,SVR_linear_Survival_Days_15,"svr__C: 59.34145688620425, svr__epsilon: 0.047450412719997725",0.0444,0.0002,0.2382,0.0192,0.2034,0.2514,15
Survival_Days,Ridge,Ridge_Survival_Days_1,ridge__alpha: 37.464011884736244,0.1059,0.0050,0.1521,0.0084,0.1508,0.1557,1
Survival_Days,Ridge,Ridge_Survival_Days_2,ridge__alpha: 95.08143064099163,0.1149,0.0052,0.1446,0.0133,0.1520,0.1507,2
Survival_Days,Ridge,Ridge_Survival_Days_3,ridge__alpha: 73.20939418114051,0.1124,0.0050,0.1461,0.0122,0.1516,0.1519,3
Survival_Days,Ridge,Ridge_Survival_Days_4,ridge__alpha: 59.87584841970366,0.1105,0.0050,0.1476,0.0110,0.1515,0.1531,4
Survival_Days,Ridge,Ridge_Survival_Days_5,ridge__alpha: 15.611864044243651,0.0959,0.0056,0.1635,0.0047,0.1525,0.1622,5
Survival_Days,Ridge,Ridge_Survival_Days_6,ridge__alpha: 15.609452033620265,0.0958,0.0056,0.1635,0.0047,0.1525,0.1622,6
Survival_Days,Ridge,Ridge_Survival_Days_7,ridge__alpha: 5.818361216819946,0.0813,0.0061,0.1805,0.0029,0.1587,0.1754,7
Survival_Days,Ridge,Ridge_Survival_Days_8,ridge__alpha: 86.62761457749352,0.1140,0.0051,0.1451,0.0130,0.1519,0.1512,8
Survival_Days,Ridge,Ridge_Survival_Days_9,ridge__alpha: 60.121501174320876,0.1106,0.0050,0.1476,0.0110,0.1515,0.1530,9
Survival_Days,Ridge,Ridge_Survival_Days_10,ridge__alpha: 70.81725777960456,0.1121,0.0050,0.1463,0.0120,0.1516,0.1521,10
Survival_Days,Ridge,Ridge_Survival_Days_11,ridge__alpha: 2.0684494295802445,0.0616,0.0058,0.2005,0.0082,0.1731,0.1971,11
Survival_Days,Ridge,Ridge_Survival_Days_12,ridge__alpha: 97.00098521619944,0.1151,0.0052,0.1446,0.0134,0.1520,0.1507,12
Survival_Days,Ridge,Ridge_Survival_Days_13,ridge__alpha: 83.25426408004218,0.1136,0.0051,0.1453,0.0128,0.1518,0.1513,13
Survival_Days,Ridge,Ridge_Survival_Days_14,ridge__alpha: 21.243911067827618,0.0997,0.0054,0.1591,0.0059,0.1513,0.1593,14
Survival_Days,Ridge,Ridge_Survival_Days_15,ridge__alpha: 18.192496720710064,0.0978,0.0055,0.1613,0.0053,0.1517,0.1607,15
