Target,Modelo,Fit_ID,Parámetros,CV_Train_MAE,CV_Train_Std,CV_Val_MAE,CV_Val_Std,Val_MAE,Test_MAE,Rank
Survival_Days,SVR_linear,SVR_linear_Survival_Days_1,"svr__C: 37.55401188473625, svr__epsilon: 0.9517143064099162",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,1
Survival_Days,SVR_linear,SVR_linear_Survival_Days_2,"svr__C: 73.2993941811405, svr__epsilon: 0.5996584841970366",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,2
Survival_Days,SVR_linear,SVR_linear_Survival_Days_3,"svr__C: 15.701864044243651, svr__epsilon: 0.15699452033620265",0.1253,0.0011,0.3203,0.1515,0.3867,0.3632,3
Survival_Days,SVR_linear,SVR_linear_Survival_Days_4,"svr__C: 5.908361216819946, svr__epsilon: 0.8671761457749352",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,4
Survival_Days,SVR_linear,SVR_linear_Survival_Days_5,"svr__C: 60.21150117432088, svr__epsilon: 0.7090725777960455",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,5
Survival_Days,SVR_linear,SVR_linear_Survival_Days_6,"svr__C: 2.1584494295802448, svr__epsilon: 0.9709098521619943",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,6
Survival_Days,SVR_linear,SVR_linear_Survival_Days_7,"svr__C: 83.34426408004217, svr__epsilon: 0.21333911067827616",0.1490,0.0036,0.2412,0.0595,0.2485,0.2809,7
Survival_Days,SVR_linear,SVR_linear_Survival_Days_8,"svr__C: 18.282496720710064, svr__epsilon: 0.18440450985343382",0.1386,0.0005,0.2743,0.1006,0.3005,0.3027,8
Survival_Days,SVR_linear,SVR_linear_Survival_Days_9,"svr__C: 30.524224295953772, svr__epsilon: 0.5257564316322378",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,9
Survival_Days,SVR_linear,SVR_linear_Survival_Days_10,"svr__C: 43.294501864211576, svr__epsilon: 0.2922291401980419",0.1829,0.0108,0.2094,0.0108,0.2030,0.2515,10
Survival_Days,SVR_linear,SVR_linear_Survival_Days_11,"svr__C: 61.28528947223795, svr__epsilon: 0.14049386065204184",0.1165,0.0005,0.3702,0.2073,0.4364,0.4177,11
Survival_Days,SVR_linear,SVR_linear_Survival_Days_12,"svr__C: 29.314464853521816, svr__epsilon: 0.3673618432936917",0.2113,0.0115,0.2256,0.0238,0.2267,0.2444,12
Survival_Days,SVR_linear,SVR_linear_Survival_Days_13,"svr__C: 45.706998421703595, svr__epsilon: 0.7861759613930136",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,13
Survival_Days,SVR_linear,SVR_linear_Survival_Days_14,"svr__C: 20.067378215835976, svr__epsilon: 0.5152344384136116",0.2374,0.0356,0.2373,0.0714,0.2351,0.2742,14
Survival_Days,SVR_linear,SVR_linear_Survival_Days_15,"svr__C: 59.34145688620425, svr__epsilon: 0.047450412719997725",0.0453,0.0000,0.7946,0.6164,1.0616,0.8074,15
Survival_Days,Ridge,Ridge_Survival_Days_1,ridge__alpha: 37.464011884736244,0.0757,0.0147,0.2341,0.0307,0.2011,0.2340,1
Survival_Days,Ridge,Ridge_Survival_Days_2,ridge__alpha: 95.08143064099163,0.0954,0.0115,0.2397,0.0203,0.1963,0.2232,2
Survival_Days,Ridge,Ridge_Survival_Days_3,ridge__alpha: 73.20939418114051,0.0891,0.0124,0.2380,0.0238,0.1977,0.2254,3
Survival_Days,Ridge,Ridge_Survival_Days_4,ridge__alpha: 59.87584841970366,0.0847,0.0131,0.2368,0.0262,0.1988,0.2275,4
