epoch,accuracy,dice_class1,dice_class2,dice_class3,learning_rate,loss,mean_io_u,val_accuracy,val_dice_class1,val_dice_class2,val_dice_class3,val_loss,val_mean_io_u
0,0.9333475232124329,0.13035516440868378,0.5499996542930603,0.459647536277771,9.999999747378752e-05,0.5380982756614685,0.375,0.9431958794593811,0.0016107046976685524,3.200178616680205e-05,0.00011321115016471595,0.7823798656463623,0.375
1,0.9722617864608765,0.23387965559959412,0.6539660096168518,0.63263338804245,9.999999747378752e-05,0.26409927010536194,0.375,0.9431958794593811,0.0016107046976685524,3.200178616680205e-05,0.00011321115016471595,0.5169937610626221,0.375
2,0.9761091470718384,0.35444286465644836,0.7040130496025085,0.6748082041740417,9.999999747378752e-05,0.20315401256084442,0.375,0.9440906643867493,0.0016107046976685524,0.034336358308792114,0.00011321115016471595,0.37549343705177307,0.375
3,0.9787992835044861,0.4269821047782898,0.7180309295654297,0.7353504300117493,9.999999747378752e-05,0.16653427481651306,0.375,0.9624326229095459,0.15109190344810486,0.36421290040016174,0.29697248339653015,0.24647648632526398,0.375
4,0.9775854349136353,0.48718124628067017,0.7031392455101013,0.7121778726577759,9.999999747378752e-05,0.15373550355434418,0.375,0.932313859462738,0.44600895047187805,0.4944044053554535,0.5155357718467712,0.37547066807746887,0.375
5,0.9800711274147034,0.5567654967308044,0.7373293042182922,0.7414326667785645,9.999999747378752e-05,0.1314627230167389,0.375,0.9731975793838501,0.4655161499977112,0.4841749966144562,0.6438944935798645,0.1650206297636032,0.375
6,0.9812823534011841,0.6041491627693176,0.7562618255615234,0.7549918293952942,9.999999747378752e-05,0.1182500571012497,0.375,0.9042161107063293,0.5111305713653564,0.6223332285881042,0.5646143555641174,0.5768640041351318,0.375
7,0.9833821058273315,0.6448497176170349,0.779092013835907,0.7774525284767151,9.999999747378752e-05,0.10285729169845581,0.375,0.9459342956542969,0.5238316059112549,0.6026844382286072,0.6608569025993347,0.2767897844314575,0.375
8,0.9834913015365601,0.6512172222137451,0.7856802940368652,0.7878308892250061,9.999999747378752e-05,0.09588661789894104,0.375,0.9306509494781494,0.5208173990249634,0.5432472825050354,0.6033055782318115,0.36119651794433594,0.375
9,0.9843466281890869,0.646689772605896,0.7894014716148376,0.7870428562164307,9.999999747378752e-05,0.08876015990972519,0.375,0.9517954587936401,0.5588206052780151,0.6361480355262756,0.7073228359222412,0.22406511008739471,0.375
10,0.9848987460136414,0.6757790446281433,0.801494300365448,0.7871187329292297,9.999999747378752e-05,0.08213973790407181,0.375,0.9535030126571655,0.614916980266571,0.6603129506111145,0.700681209564209,0.21750886738300323,0.375
11,0.9863317608833313,0.6960650682449341,0.8193661570549011,0.8097533583641052,4.999999873689376e-05,0.07383771240711212,0.375,0.955166757106781,0.602175235748291,0.6448860168457031,0.6970967054367065,0.22006356716156006,0.375
12,0.9869949817657471,0.736552894115448,0.8296904563903809,0.8278577327728271,4.999999873689376e-05,0.07029658555984497,0.375,0.9525278806686401,0.5882219672203064,0.6054246425628662,0.6671463847160339,0.23656994104385376,0.375
13,0.9863254427909851,0.6989465951919556,0.8251250982284546,0.8147732615470886,4.999999873689376e-05,0.07172483205795288,0.375,0.952552318572998,0.6006750464439392,0.6497970819473267,0.6998333930969238,0.23250643908977509,0.375
14,0.9867757558822632,0.7481032013893127,0.8285896182060242,0.8243633508682251,4.999999873689376e-05,0.06850340962409973,0.375,0.9506155848503113,0.6371128559112549,0.6608757376670837,0.7368709444999695,0.2276967465877533,0.375
15,0.9871940612792969,0.6985198259353638,0.836830735206604,0.8135019540786743,4.999999873689376e-05,0.06586357951164246,0.375,0.9401175379753113,0.5719204545021057,0.6233586668968201,0.6683171391487122,0.365863561630249,0.375
